accountlogontype,accountrunlevel,certificateissuer,certificatesubject,comment,creator,description,execarguments,execprogrampath,hostname,name,signatureexists,signatureverified,virtualpath
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task is part of the Windows Server Customer Experience Improvement Program.  Please do not manually delete this task.  Please see http://go.microsoft.com/fwlink/?linkid=52095 for more information.,Microsoft Corporation,The file is signed and the signature was verified.,-roleusage,%windir%\system32\ceipdata.exe,EC0003XSC,ServerRoleUsageCollector,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerRoleUsageCollector
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,System Sounds User Mode Agent,,,,,EC0003XSC,SystemSoundsService,,,\Microsoft\Windows\Multimedia\SystemSoundsService
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,,The file is signed and the signature was verified.,/UploadEtlFilesOnly,%windir%\system32\CompatTelRunner.exe,EC0003XSC,Microsoft Compatibility Appraiser,true,true,\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task restarts the Software Protection Platform service at the specified time,Microsoft Corporation,,start sppsvc,sc.exe,EC0003XSC,SvcRestartTask,,,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Task for launching the Memory Diagnostic,Microsoft Corporation,,,,EC0003XSC,DecompressionFailureDetector,,,\Microsoft\Windows\MemoryDiagnostic\DecompressionFailureDetector
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,If the user has consented to participate in the Windows Customer Experience Improvement Program  this job collects and sends usage data to Microsoft.,Microsoft Corporation,The file is signed and the signature was verified.,,%SystemRoot%\System32\wsqmcons.exe,EC0003XSC,Consolidator,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Consolidator
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,Maintains date and time synchronization on all clients and servers in the network. If this service is stopped  date and time synchronization will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Microsoft Corporation,The file is signed and the signature was verified.,start w32time task_started,%windir%\system32\sc.exe,EC0003XSC,SynchronizeTime,true,true,\Microsoft\Windows\Time Synchronization\SynchronizeTime
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Provides support for the switching of mobility enabled VPN connections if their underlying interface goes down.,Microsoft Corporation,,,,EC0003XSC,MobilityManager,,,\Microsoft\Windows\Ras\MobilityManager
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,The major version number of the operating system.,The file is signed and the signature was verified.,"%systemroot%\system32\pla.dll PlaHost ""Server Manager Performance Monitor"" ""$(Arg0)""",%systemroot%\system32\rundll32.exe,EC0003XSC,Server Manager Performance Monitor,true,true,\Microsoft\Windows\PLA\Server Manager Performance Monitor
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Certificate Services Client automatically manages digital identities such as Certificates  Keys and Credentials for the users and the machine  enabling enrollment  roaming and other services.,Microsoft Corporation,,,,EC0003XSC,UserTask-Roam,,,\Microsoft\Windows\CertificateServicesClient\UserTask-Roam
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,Microsoft Corporation,The file is signed and the signature was verified.,,C:\Windows\SYSTEM32\OOBE\SETUPSQM.EXE,EC0003XSC,SetupSQMTask,true,true,\Microsoft\Windows\SetupSQMTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Set UPnPHost service to Auto-Start,Microsoft,,config upnphost start= auto,sc.exe,EC0003XSC,UPnPHostConfig,,,\Microsoft\Windows\UPnP\UPnPHostConfig
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Task for launching the Memory Diagnostic,Microsoft Corporation,,,,EC0003XSC,CorruptionDetector,,,\Microsoft\Windows\MemoryDiagnostic\CorruptionDetector
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,This event is triggered when an IP address conflict is detected.,Microsoft Corporation,The file is signed and the signature was verified.,ndfapi.dll NdfRunDllDuplicateIPOffendingSystem,%windir%\system32\rundll32.exe,EC0003XSC,IpAddressConflict1,true,true,\Microsoft\Windows\Tcpip\IpAddressConflict1
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Aggregates and uploads Application Telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.,Microsoft Corporation,,,aitagent,EC0003XSC,AitAgent,,,\Microsoft\Windows\Application Experience\AitAgent
